#Parameters = {Epsilon=3; a=8.636; b=4.318; d_new=2; d_odj=74.4; h=1; l=26; l_old=26; tg_delta=0.01}
#"Frequency / GHz"	"S1,2 [Re]"	"S1,2 [Im]"
#-----------------------------------------
22.000000000000	-0.27276756074060	-0.62949069580124
22.006000000000	-0.27611215405643	-0.62820432200424
22.012000000000	-0.27944957379238	-0.62690049596255
22.018000000000	-0.28277972911568	-0.62557926399985
22.024000000000	-0.28610252954908	-0.62424067290765
22.030000000000	-0.28941788497297	-0.62288476994211
22.036000000000	-0.29272570562746	-0.62151160282096
22.042000000000	-0.29602590211441	-0.62012121972030
22.048000000000	-0.29931838539945	-0.61871366927150
22.054000000000	-0.30260306681397	-0.61728900055804
22.060000000000	-0.30587985805704	-0.61584726311238
22.066000000000	-0.30914867119740	-0.61438850691277
22.072000000000	-0.31240941867529	-0.61291278238016
22.078000000000	-0.31566201330436	-0.61142014037500
22.084000000000	-0.31890636827349	-0.60991063219412
22.090000000000	-0.32214239714865	-0.60838430956757
22.096000000000	-0.32537001387459	-0.60684122465545
22.102000000000	-0.32858913277671	-0.60528143004479
22.108000000000	-0.33179966856269	-0.60370497874639
22.114000000000	-0.33500153632426	-0.60211192419166
22.120000000000	-0.33819465153884	-0.60050232022946
22.126000000000	-0.34137893007120	-0.59887622112299
22.132000000000	-0.34455428817506	-0.59723368154659
22.138000000000	-0.34772064249472	-0.59557475658265
22.144000000000	-0.35087791006660	-0.59389950171843
22.150000000000	-0.35402600832077	-0.59220797284290
22.156000000000	-0.35716485508250	-0.59050022624364
22.162000000000	-0.36029436857370	-0.58877631860369
22.168000000000	-0.36341446741442	-0.58703630699840
22.174000000000	-0.36652507062429	-0.58528024889230
22.180000000000	-0.36962609762386	-0.58350820213598
22.186000000000	-0.37271746823609	-0.58172022496294
22.192000000000	-0.37579910268761	-0.57991637598651
22.198000000000	-0.37887092161012	-0.57809671419666
22.204000000000	-0.38193284604167	-0.57626129895696
22.210000000000	-0.38498479742794	-0.57441019000140
22.216000000000	-0.38802669762352	-0.57254344743131
22.222000000000	-0.39105846889313	-0.57066113171226
22.228000000000	-0.39408003391280	-0.56876330367096
