#Parameters = {Epsilon=3; a=8.636; b=4.318; d_new=2; d_odj=74.4; h=1; l=26; l_old=26; tg_delta=0.01}
#"Frequency / GHz"	"S1,1 [Re]"	"S1,1 [Im]"	"Ref.Imp. [Re]"	"Ref.Imp. [Im]"
#-------------------------------------------------------------------------
22.000000000000	-0.65429689845349	0.29127876559205	613.01104519995	0.0000000000000
22.006000000000	-0.65263129992058	0.29462277437657	612.76353518974	0.0000000000000
22.012000000000	-0.65094921267662	0.29795629929239	612.51602517953	0.0000000000000
22.018000000000	-0.64925070693387	0.30127926184379	612.26851516932	0.0000000000000
22.024000000000	-0.64753585323361	0.30459158404801	612.02100515911	0.0000000000000
22.030000000000	-0.64580472244218	0.30789318843585	611.77349514890	0.0000000000000
22.036000000000	-0.64405738574701	0.31118399805211	611.52598513869	0.0000000000000
22.042000000000	-0.64229391465272	0.31446393645612	611.27847512848	0.0000000000000
22.048000000000	-0.64051438097719	0.31773292772215	611.03096511826	0.0000000000000
22.054000000000	-0.63871885684763	0.32099089643984	610.78345510805	0.0000000000000
22.060000000000	-0.63690741469674	0.32423776771459	610.53594509784	0.0000000000000
22.066000000000	-0.63508012725882	0.32747346716789	610.28843508763	0.0000000000000
22.072000000000	-0.63323706756589	0.33069792093771	610.04092507742	0.0000000000000
22.078000000000	-0.63137830894389	0.33391105567876	609.79341506721	0.0000000000000
22.084000000000	-0.62950392500883	0.33711279856276	609.54590505700	0.0000000000000
22.090000000000	-0.62761398966299	0.34030307727874	609.29839504679	0.0000000000000
22.096000000000	-0.62570857709112	0.34348182003323	609.05088503658	0.0000000000000
22.102000000000	-0.62378776175668	0.34664895555044	608.80337502637	0.0000000000000
22.108000000000	-0.62185161839808	0.34980441307248	608.55586501616	0.0000000000000
22.114000000000	-0.61990022202491	0.35294812235949	608.30835500594	0.0000000000000
22.120000000000	-0.61793364791425	0.35608001368973	608.06084499573	0.0000000000000
22.126000000000	-0.61595197160694	0.35920001785972	607.81333498552	0.0000000000000
22.132000000000	-0.61395526890390	0.36230806618429	607.56582497531	0.0000000000000
22.138000000000	-0.61194361586244	0.36540409049663	607.31831496510	0.0000000000000
22.144000000000	-0.60991708879261	0.36848802314834	607.07080495489	0.0000000000000
22.150000000000	-0.60787576425356	0.37155979700937	606.82329494468	0.0000000000000
22.156000000000	-0.60581971904993	0.37461934546807	606.57578493447	0.0000000000000
22.162000000000	-0.60374903022820	0.37766660243109	606.32827492426	0.0000000000000
22.168000000000	-0.60166377507315	0.38070150232334	606.08076491405	0.0000000000000
22.174000000000	-0.59956403110427	0.38372398008788	605.83325490384	0.0000000000000
22.180000000000	-0.59744987607218	0.38673397118583	605.58574489362	0.0000000000000
22.186000000000	-0.59532138795516	0.38973141159622	605.33823488341	0.0000000000000
22.192000000000	-0.59317864495554	0.39271623781582	605.09072487320	0.0000000000000
22.198000000000	-0.59102172549627	0.39568838685899	604.84321486299	0.0000000000000
22.204000000000	-0.58885070821743	0.39864779625747	604.59570485278	0.0000000000000
22.210000000000	-0.58666567197273	0.40159440406015	604.34819484257	0.0000000000000
22.216000000000	-0.58446669582607	0.40452814883285	604.10068483236	0.0000000000000
22.222000000000	-0.58225385904816	0.40744896965803	603.85317482215	0.0000000000000
22.228000000000	-0.58002724111302	0.41035680613454	603.60566481194	0.0000000000000
22.234000000000	-0.57778692169468	0.41325159837732	603.35815480173	0.0000000000000
22.240000000000	-0.57553298066374	0.41613328701706	603.11064479152	0.0000000000000
22.246000000000	-0.57326549808403	0.41900181319987	602.86313478130	0.0000000000000
22.252000000000	-0.57098455420928	0.42185711858692	602.61562477109	0.0000000000000
22.258000000000	-0.56869022947980	0.42469914535409	602.36811476088	0.0000000000000
22.264000000000	-0.56638260451916	0.42752783619155	602.12060475067	0.0000000000000
22.270000000000	-0.56406176013091	0.43034313430336	601.87309474046	0.0000000000000
22.276000000000	-0.56172777729534	0.43314498340703	601.62558473025	0.0000000000000
22.282000000000	-0.55938073716618	0.43593332773309	601.37807472004	0.0000000000000
22.288000000000	-0.55702072106741	0.43870811202462	601.13056470983	0.0000000000000
22.294000000000	-0.55464781049006	0.44146928153678	600.88305469962	0.0000000000000
22.300000000000	-0.55226208708895	0.44421678203630	600.63554468941	0.0000000000000
22.306000000000	-0.54986363267959	0.44695055980096	600.38803467920	0.0000000000000
22.312000000000	-0.54745252923498	0.44967056161909	600.14052466898	0.0000000000000
22.318000000000	-0.54502885888249	0.45237673478902	599.89301465877	0.0000000000000
22.324000000000	-0.54259270390071	0.45506902711847	599.64550464856	0.0000000000000
22.330000000000	-0.54014414671638	0.45774738692406	599.39799463835	0.0000000000000
22.336000000000	-0.53768326990130	0.46041176303065	599.15048462814	0.0000000000000
22.342000000000	-0.53521015616923	0.46306210477077	598.90297461793	0.0000000000000
22.348000000000	-0.53272488837291	0.46569836198399	598.65546460772	0.0000000000000
22.354000000000	-0.53022754950094	0.46832048501630	598.40795459751	0.0000000000000
22.360000000000	-0.52771822267486	0.47092842471943	598.16044458730	0.0000000000000
22.366000000000	-0.52519699114608	0.47352213245022	597.91293457709	0.0000000000000
22.372000000000	-0.52266393829296	0.47610156006995	597.66542456688	0.0000000000000
22.378000000000	-0.52011914761781	0.47866665994362	597.41791455666	0.0000000000000
22.384000000000	-0.51756270274398	0.48121738493926	597.17040454645	0.0000000000000
22.390000000000	-0.51499468741292	0.48375368842725	596.92289453624	0.0000000000000
22.396000000000	-0.51241518548130	0.48627552427955	596.67538452603	0.0000000000000
22.402000000000	-0.50982428091809	0.48878284686897	596.42787451582	0.0000000000000
