#Parameters = {Epsilon=3; a=8.636; b=4.318; d_new=2; d_odj=74.4; h=1; l=26; l_old=26; tg_delta=0.01}
#"Frequency / GHz"	"S2,1 [Re]"	"S2,1 [Im]"
#-----------------------------------------
22.000000000000	-0.56799151329382	-0.38462306878211
22.006000000000	-0.57027396811490	-0.38151480121942
22.012000000000	-0.57253864332245	-0.37839390632620
22.018000000000	-0.57478547248780	-0.37526049144379
22.024000000000	-0.57701438989003	-0.37211466422311
22.030000000000	-0.57922533051680	-0.36895653261956
22.036000000000	-0.58141823006501	-0.36578620488791
22.042000000000	-0.58359302494149	-0.36260378957720
22.048000000000	-0.58574965226361	-0.35940939552567
22.054000000000	-0.58788804985990	-0.35620313185565
22.060000000000	-0.59000815627058	-0.35298510796855
22.066000000000	-0.59210991074810	-0.34975543353976
22.072000000000	-0.59419325325760	-0.34651421851365
22.078000000000	-0.59625812447734	-0.34326157309853
22.084000000000	-0.59830446579916	-0.33999760776163
22.090000000000	-0.60033221932878	-0.33672243322412
22.096000000000	-0.60234132788617	-0.33343616045614
22.102000000000	-0.60433173500587	-0.33013890067177
22.108000000000	-0.60630338493720	-0.32683076532417
22.114000000000	-0.60825622264450	-0.32351186610053
22.120000000000	-0.61019019380736	-0.32018231491722
22.126000000000	-0.61210524482072	-0.31684222391487
22.132000000000	-0.61400132279503	-0.31349170545344
22.138000000000	-0.61587837555633	-0.31013087210734
22.144000000000	-0.61773635164628	-0.30675983666062
22.150000000000	-0.61957520032223	-0.30337871210205
22.156000000000	-0.62139487155716	-0.29998761162033
22.162000000000	-0.62319531603964	-0.29658664859922
22.168000000000	-0.62497648517379	-0.29317593661282
22.174000000000	-0.62673833107911	-0.28975558942071
22.180000000000	-0.62848080659041	-0.28632572096320
22.186000000000	-0.63020386525756	-0.28288644535660
22.192000000000	-0.63190746134534	-0.27943787688845
22.198000000000	-0.63359154983317	-0.27598013001283
22.204000000000	-0.63525608641487	-0.27251331934563
22.210000000000	-0.63690102749832	-0.26903755965989
22.216000000000	-0.63852633020520	-0.26555296588113
22.222000000000	-0.64013195237056	-0.26205965308267
22.228000000000	-0.64171785254247	-0.25855773648106
22.234000000000	-0.64328398998159	-0.25504733143138
22.240000000000	-0.64483032466075	-0.25152855342274
22.246000000000	-0.64635681726444	-0.24800151807363
22.252000000000	-0.64786342918832	-0.24446634112739
22.258000000000	-0.64935012253871	-0.24092313844768
22.264000000000	-0.65081686013198	-0.23737202601393
22.270000000000	-0.65226360549403	-0.23381311991685
22.276000000000	-0.65369032285961	-0.23024653635397
22.282000000000	-0.65509697717175	-0.22667239162514
22.288000000000	-0.65648353408102	-0.22309080212810
22.294000000000	-0.65784995994488	-0.21950188435405
22.300000000000	-0.65919622182697	-0.21590575488325
22.306000000000	-0.66052228749633	-0.21230253038060
22.312000000000	-0.66182812542664	-0.20869232759134
22.318000000000	-0.66311370479545	-0.20507526333662
22.324000000000	-0.66437899548332	-0.20145145450923
22.330000000000	-0.66562396807302	-0.19782101806927
22.336000000000	-0.66684859384860	-0.19418407103983
22.342000000000	-0.66805284479457	-0.19054073050278
22.348000000000	-0.66923669359491	-0.18689111359448
22.354000000000	-0.67040011363219	-0.18323533750155
22.360000000000	-0.67154307898657	-0.17957351945669
22.366000000000	-0.67266556443482	-0.17590577673445
22.372000000000	-0.67376754544932	-0.17223222664708
